,term
2014-01-01,10
2014-01-02,10
2014-01-03,10
2014-01-04,11
2014-01-05,11
2014-01-06,10
2014-01-07,10
2014-01-08,10
2014-01-09,10
2014-01-10,10
2014-01-11,11
2014-01-12,11
2014-01-13,10
2014-01-14,0
2014-01-15,0
2014-01-16,0
2014-01-17,0
2014-01-18,1
2014-01-19,1
2014-01-20,0
2014-01-21,0
2014-01-22,0
2014-01-23,0
2014-01-24,0
2014-01-25,1
2014-01-26,1
2014-01-27,0
2014-01-28,0
2014-01-29,0
2014-01-30,0
2014-01-31,0
2014-02-01,1
2014-02-02,1
2014-02-03,0
2014-02-04,0
2014-02-05,0
2014-02-06,0
2014-02-07,0
2014-02-08,1
2014-02-09,1
2014-02-10,0
2014-02-11,0
2014-02-12,0
2014-02-13,0
2014-02-14,0
2014-02-15,1
2014-02-16,1
2014-02-17,0
2014-02-18,0
2014-02-19,0
2014-02-20,0
2014-02-21,0
2014-02-22,1
2014-02-23,1
2014-02-24,0
2014-02-25,0
2014-02-26,0
2014-02-27,0
2014-02-28,0
2014-03-01,1
2014-03-02,1
2014-03-03,0
2014-03-04,0
2014-03-05,0
2014-03-06,0
2014-03-07,0
2014-03-08,1
2014-03-09,1
2014-03-10,0
2014-03-11,0
2014-03-12,0
2014-03-13,0
2014-03-14,0
2014-03-15,3
2014-03-16,3
2014-03-17,2
2014-03-18,2
2014-03-19,2
2014-03-20,2
2014-03-21,2
2014-03-22,3
2014-03-23,3
2014-03-24,2
2014-03-25,2
2014-03-26,2
2014-03-27,2
2014-03-28,2
2014-03-29,3
2014-03-30,3
2014-03-31,2
2014-04-01,2
2014-04-02,2
2014-04-03,2
2014-04-04,2
2014-04-05,3
2014-04-06,3
2014-04-07,2
2014-04-08,2
2014-04-09,2
2014-04-10,2
2014-04-11,2
2014-04-12,3
2014-04-13,3
2014-04-14,2
2014-04-15,2
2014-04-16,2
2014-04-17,2
2014-04-18,2
2014-04-19,3
2014-04-20,3
2014-04-21,2
2014-04-22,4
2014-04-23,4
2014-04-24,4
2014-04-25,4
2014-04-26,5
2014-04-27,5
2014-04-28,4
2014-04-29,4
2014-04-30,4
2014-05-01,4
2014-05-02,4
2014-05-03,5
2014-05-04,5
2014-05-05,4
2014-05-06,4
2014-05-07,4
2014-05-08,4
2014-05-09,4
2014-05-10,5
2014-05-11,5
2014-05-12,4
2014-05-13,4
2014-05-14,4
2014-05-15,4
2014-05-16,4
2014-05-17,5
2014-05-18,5
2014-05-19,4
2014-05-20,4
2014-05-21,4
2014-05-22,4
2014-05-23,4
2014-05-24,5
2014-05-25,5
2014-05-26,4
2014-05-27,4
2014-05-28,4
2014-05-29,4
2014-05-30,4
2014-05-31,5
2014-06-01,5
2014-06-02,4
2014-06-03,4
2014-06-04,4
2014-06-05,4
2014-06-06,4
2014-06-07,5
2014-06-08,5
2014-06-09,4
2014-06-10,4
2014-06-11,4
2014-06-12,4
2014-06-13,4
2014-06-14,7
2014-06-15,7
2014-06-16,6
2014-06-17,6
2014-06-18,6
2014-06-19,6
2014-06-20,6
2014-06-21,7
2014-06-22,7
2014-06-23,6
2014-06-24,6
2014-06-25,6
2014-06-26,6
2014-06-27,6
2014-06-28,7
2014-06-29,7
2014-06-30,6
2014-07-01,6
2014-07-02,6
2014-07-03,6
2014-07-04,6
2014-07-05,7
2014-07-06,7
2014-07-07,6
2014-07-08,6
2014-07-09,6
2014-07-10,6
2014-07-11,6
2014-07-12,7
2014-07-13,7
2014-07-14,6
2014-07-15,6
2014-07-16,6
2014-07-17,6
2014-07-18,6
2014-07-19,7
2014-07-20,7
2014-07-21,6
2014-07-22,6
2014-07-23,6
2014-07-24,6
2014-07-25,6
2014-07-26,7
2014-07-27,7
2014-07-28,6
2014-07-29,6
2014-07-30,6
2014-07-31,6
2014-08-01,6
2014-08-02,7
2014-08-03,7
2014-08-04,6
