,cost,reduced_scenario,probability
0,75604821.02661234,313.0,0.0
1,75481760.44136427,436.0,0.0
2,74841566.47587298,141.0,0.0
3,75495176.05597624,436.0,0.0
4,74881341.8637891,261.0,0.0
5,75061759.51182123,456.0,0.0
6,75150130.53467697,456.0,0.0
7,75229318.19298038,122.0,0.0
8,75182881.88151939,122.0,0.0
9,75057942.73567683,456.0,0.0
10,74690268.30867475,344.0,0.0
11,74986993.87906434,167.0,0.0
12,74877214.06100625,261.0,0.0
13,74890832.51423694,261.0,0.0
14,74390316.50067876,229.0,0.0
15,75088687.72534125,456.0,0.0
16,75592331.56123643,313.0,0.0
17,75465864.79191156,132.0,0.0
18,75052876.92942521,456.0,0.0
19,74931916.33780023,261.0,0.0
20,75868852.62292294,285.0,0.0
21,76060594.34674348,342.0,0.0
22,76532774.22938195,299.0,0.0
23,74959664.3837273,261.0,0.0
24,75443432.08020057,132.0,0.0
25,75251676.08072573,122.0,0.0
26,75531177.53907758,436.0,0.0
27,75247082.8530214,122.0,0.0
28,74853011.92749617,141.0,0.0
29,75926095.26295517,342.0,0.0
30,75572527.35245968,313.0,0.0
31,74974201.54952745,167.0,0.0
32,75257164.26460238,122.0,0.0
33,74826199.1545745,141.0,0.0
34,75400756.25291297,132.0,0.0
35,75020293.31093128,167.0,0.0
36,74836186.92248993,141.0,0.0
37,75350961.52096091,275.0,0.0
38,74854742.88160516,141.0,0.0
39,75221436.4044089,122.0,0.0
40,74849207.98058856,141.0,0.0
41,75501509.5702037,436.0,0.0
42,75026958.6443253,167.0,0.0
43,75269204.18573178,275.0,0.0
44,75729912.62821127,97.0,0.0
45,75466385.5087255,132.0,0.0
46,75353280.71349694,275.0,0.0
47,75345787.37290992,275.0,0.0
48,74727823.64056115,344.0,0.0
49,75174161.11762281,122.0,0.0
50,75739977.62734778,97.0,0.0
51,75022971.03859648,167.0,0.0
52,75807100.32909992,285.0,0.0
53,75038054.43163894,167.0,0.0
54,75946267.72299644,342.0,0.0
55,75799301.15673107,285.0,0.0
56,75599019.04585214,313.0,0.0
57,75218597.1806861,122.0,0.0
58,74622680.68343808,221.0,0.0
59,75228632.61330901,122.0,0.0
60,75404739.25722663,132.0,0.0
61,75715030.69093236,97.0,0.0
